id,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
419,22,21,28,36,27,28,25,18,25,12,28
420,14,20,16,23,19,28,16,19,10,7,13
421,9,,3,14,,,,12,11,10,12
422,15,12,14,18,7,23,29,21,20,21,16
423,19,21,19,18,27,19,11,35,23,31,31
424,,8,,7,,,,,7,10,6
425,7,11,7,10,17,,22,12,9,16,14
426,21,25,19,17,29,21,21,16,21,20,25
428,8,13,12,24,22,20,12,10,11,13,22
430,23,23,24,40,50,30,25,46,50,29,42
431,17,19,22,23,22,13,12,24,16,30,24
432,37,41,32,22,24,26,19,25,19,21,23
433,19,11,11,13,12,11,,11,10,6,9
434,12,16,9,21,18,18,15,13,12,19,20
435,,,5,,,,,,6,,8
436,25,12,23,19,18,17,22,20,28,18,16
437,10,10,17,12,11,18,13,20,16,21,29
438,8,7,18,20,22,25,32,33,34,25,26
442,23,26,20,34,28,34,26,28,31,20,33
443,13,15,30,15,18,,11,22,12,20,14
444,23,28,21,25,23,16,12,25,23,25,27
445,22,30,28,28,29,17,30,22,19,18,20
446,10,6,11,16,,10,16,7,13,8,
447,8,11,18,19,23,11,15,26,24,37,27
448,15,22,20,24,27,18,14,33,31,31,41
449,6,10,13,12,15,,10,22,13,15,14
450,27,28,41,23,24,11,27,29,23,25,29
451,32,32,41,47,40,48,55,41,68,49,68
452,13,7,,12,11,,,12,9,13,8
453,6,10,13,13,10,8,11,21,13,20,11
454,15,18,25,15,14,14,14,21,15,15,11
455,13,17,24,16,19,17,14,18,14,14,10
456,,,,,,,,,,,
457,17,18,15,7,,17,9,12,16,15,19
458,10,8,16,13,11,,14,12,21,18,15
459,34,40,37,34,29,26,42,31,34,33,30
460,35,31,39,35,38,18,35,35,39,35,30
462,10,12,6,12,9,11,13,15,16,10,12
463,22,13,24,14,14,11,16,14,14,21,23
464,28,29,32,38,31,32,36,30,48,55,44
465,14,12,12,11,14,12,17,14,7,20,12
466,16,22,20,19,26,17,23,25,33,25,29
467,30,27,33,24,26,35,33,41,36,40,30
468,,,5,,,,,,,,
469,18,8,21,14,14,26,17,17,23,19,11
470,12,16,21,16,23,16,28,28,20,18,24
471,24,15,12,27,27,23,17,23,20,24,22
472,6,5,7,,,13,11,9,12,13,9
473,10,7,7,10,13,,15,17,9,10,8
474,13,7,14,20,11,15,28,22,23,19,20
475,22,9,10,15,,18,14,16,21,22,27
476,11,17,9,14,,16,19,23,21,29,20
