id,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2021,y_2022,y_2023
412,,,5.0,,,,,8.0,11.0
413,24.0,32.0,23.0,35.0,39.0,32.0,39.0,39.0,24.0
416,5.0,,4.0,,,,5.0,5.0,7.0
417,8.0,10.0,7.0,8.0,9.0,,12.0,11.0,8.0
418,16.0,18.0,17.0,20.0,16.0,6.0,13.0,6.0,17.0
419,15.0,13.0,10.0,19.0,23.0,10.0,21.0,11.0,15.0
420,6.0,9.0,13.0,9.0,13.0,7.0,7.0,4.0,5.0
421,6.0,,4.0,,,,7.0,12.0,7.0
422,6.0,2.0,8.0,9.0,14.0,15.0,9.0,11.0,11.0
423,6.0,16.0,12.0,14.0,18.0,10.0,12.0,23.0,23.0
424,5.0,,,,,,5.0,6.0,4.0
